User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAUOLMHZTBVTWNJC54,"May 24, 2020, 13:30 (UTC+01:00)",iam.amazonaws.com,CreateRole,us-east-1,84.203.14.124,console.amazonaws.com,AccessDenied,[],fdaf1321-2d8b-4c0f-a36c-f30bae56b651,aee55089-10c9-4c79-bfb9-6d2a5c398e7e,,AwsApiCall,305706552515,
CloudTrail,ASIAUOLMHZTBRV2UB2GE,"May 24, 2020, 13:30 (UTC+01:00)",logs.amazonaws.com,CreateLogGroup,eu-west-1,84.203.14.124,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.776 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation",,[],aa339e12-7912-455c-ac13-eeea93054bd7,323e5c85-491c-4827-ae02-c802986e38ff,,AwsApiCall,305706552515,
CloudTrail,ASIAUOLMHZTBRV2UB2GE,"May 24, 2020, 13:27 (UTC+01:00)",cloudtrail.amazonaws.com,StartLogging,eu-west-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",dc93a17b-45ca-4a8c-b2df-c641b267bb3c,0bc22313-f778-4af6-b33d-c88687b19e35,false,AwsApiCall,305706552515,
CloudTrail,ASIAUOLMHZTBRV2UB2GE,"May 24, 2020, 13:27 (UTC+01:00)",s3.amazonaws.com,PutBucketPolicy,eu-west-1,84.203.14.124,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.776 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-logs-s3-nithin""}]",DCB2FEF7076FECC3,2948b35a-f1ce-47b5-ba29-4f1f1d45e759,,AwsApiCall,305706552515,
CloudTrail,ASIAUOLMHZTBRV2UB2GE,"May 24, 2020, 13:27 (UTC+01:00)",cloudtrail.amazonaws.com,CreateTrail,eu-west-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-1:305706552515:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-logs-s3-nithin""}]",9f560f43-2e42-4798-966b-41981873f710,9dcb25d0-f4dc-4713-b366-3e9fb5163acd,false,AwsApiCall,305706552515,
CloudTrail,ASIAUOLMHZTBRV2UB2GE,"May 24, 2020, 13:27 (UTC+01:00)",cloudtrail.amazonaws.com,PutEventSelectors,eu-west-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-1:305706552515:trail/Udacity_Trail""}]",f6f46151-85b3-453e-8de1-0022d73a3f4c,ec098000-3067-4cbc-9e50-b4d5ba40540c,false,AwsApiCall,305706552515,
CloudTrail,ASIAUOLMHZTBRV2UB2GE,"May 24, 2020, 13:27 (UTC+01:00)",s3.amazonaws.com,CreateBucket,eu-west-1,84.203.14.124,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.776 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-logs-s3-nithin""}]",F6E00EF1F6310B61,5d616ef8-fda3-4224-8757-92ee2811e1a1,,AwsApiCall,305706552515,
CloudTrail,ASIAUOLMHZTBRV2UB2GE,"May 24, 2020, 13:27 (UTC+01:00)",s3.amazonaws.com,CreateBucket,eu-west-1,84.203.14.124,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.776 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",BucketAlreadyExists,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-logs-s3""}]",6C01D3DA5DD02870,c2869b85-087b-45d5-8f49-e29ad0937265,,AwsApiCall,305706552515,
CloudTrail,ASIAUOLMHZTB6NRFQN5L,"May 24, 2020, 13:25 (UTC+01:00)",iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],2003d5bb-93dc-4dfa-81e3-9e538cc78881,418e66a5-2303-4d13-8453-96cc50dee2ee,false,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:20 (UTC+01:00)",iam.amazonaws.com,CreateLoginProfile,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",084a6ab7-90b9-4819-89bd-bc83b7debb2c,8d888e13-b02e-44e5-9126-1ad16930d833,,AwsApiCall,305706552515,
